FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,White British%,White%,Asian%,Black%
3355,E01003518,Newham 032D,,541604,181531,51.515,0.039369,,814.955829,0.51,0.49,0.245,20.65,50.64,21.75,18.45
3356,E01003519,Newham 032E,,541249,181495,51.5147,0.034242,30.33,564.8442659,0.35,0.65,15.49,16.32,44.17,24.07,24.26
3331,E01003490,Newham 019C,,541886,183488,51.5325,0.044217,4.47,614.0133809,0.38,0.62,2.545,8.07,20.06,62.09,11.33
3357,E01003520,Newham 018A,,542150,184069,51.5376,0.048255,99.54,160.4123272,0.09,0.91,50.225,4.58,17.15,67.86,7.24
3358,E01003521,Newham 018B,,542572,183804,51.5351,0.054228,56.3,448.6705432,0.28,0.72,28.51,7.55,20.43,64.52,5.71
3359,E01003522,Newham 018C,,542194,183847,51.5356,0.048799,81.49,419.5433327,0.26,0.74,41.115,5.77,16.99,69.42,6.26
3361,E01003524,Newham 019D,,542046,183617,51.5336,0.046574,0.06,710.2796735,0.44,0.56,0.31,6.95,17.57,65.11,9.9
3362,E01003525,Newham 018D,,542343,183605,51.5334,0.050849,0.89,723.8815508,0.45,0.55,0.72,4.8,13.02,69.74,7.59
3363,E01003526,Newham 018E,,542440,183342,51.531,0.05214,,878.2326573,0.55,0.45,0.225,8.44,16.92,67.27,9.81
3360,E01003523,Newham 024A,,542718,183164,51.5294,0.056073,,954.9876218,0.6,0.4,0.2,10.81,35.16,46.58,10.81
3379,E01003542,Newham 024D,,542955,182907,51.527,0.059383,,1404.572828,0.88,0.12,0.06,11.02,19.08,45.1,27.5
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,,831.1655132,0.52,0.48,0.24,5.55,12.5,61.39,20.41
3366,E01003529,Newham 010A,,542389,184738,51.5436,0.051969,67.59,432.1461726,0.27,0.73,34.16,2.64,9.98,80.3,4.45
3367,E01003530,Newham 010B,,542756,184705,51.5432,0.057244,22.49,574.5786102,0.36,0.64,11.565,6.98,21.26,66.42,5.66
3369,E01003532,Newham 010D,,542506,184504,51.5415,0.05356,98.35,239.3617213,0.14,0.86,49.605,3.17,12.32,77.09,5.73
3371,E01003534,Newham 010E,,542433,185053,51.5464,0.05273,23.06,610.6334505,0.38,0.62,11.84,3.35,9.97,72.01,9.97
3454,E01003625,Newham 015A,,543141,184552,51.5417,0.06273,3.3,848.2992486,0.53,0.47,1.885,9.75,22.95,58.92,8.03
3455,E01003626,Newham 015B,,542883,184414,51.5406,0.058957,56.06,444.9944619,0.27,0.73,28.395,10.27,19.77,66.98,4.45
3368,E01003531,Newham 010C,,542070,184413,51.5407,0.047241,88.13,285.5693156,0.17,0.83,44.48,4.66,12.17,74.56,8.17
3456,E01003627,Newham 015C,,542891,184141,51.5381,0.058961,56.43,439.0318603,0.27,0.73,28.58,4.78,15.85,69.35,7.33
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,,976.341387,0.61,0.39,0.195,7.85,17.89,65.02,11.06
3416,E01003579,Newham 004A,,542654,185397,51.5494,0.056055,11.45,662.5129819,0.41,0.59,6.02,5.49,12.8,68.8,10.69
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,55.97,485.2465501,0.3,0.7,28.335,4.72,13.67,72.29,7.23
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,100,117.1119132,0.07,0.93,50.465,9.45,21.46,55.1,13.87
3425,E01003588,Newham 011D,,541794,184904,51.5452,0.043461,94.35,390.5500444,0.24,0.76,47.555,4.49,16.67,66.15,10.64
3426,E01003589,Newham 011E,,541975,184764,51.5439,0.046013,17.73,580.880398,0.36,0.64,9.185,6.01,18.9,66.65,6.66
3388,E01003551,Newham 009A,,540065,184741,51.5442,0.01848,10.2,672.6963456,0.42,0.58,5.39,14.89,37.97,29.46,20.35
3389,E01003552,Newham 016A,,540201,184627,51.5431,0.020394,,761.7362479,0.47,0.53,0.265,12.98,30.47,46.65,15.61
3390,E01003553,Newham 009B,,539694,184821,51.545,0.013165,50.04,498.3428978,0.31,0.69,25.365,14.71,29.07,37.61,23.59
3391,E01003554,Newham 009C,,539810,184489,51.542,0.014705,,706.1934114,0.44,0.56,0.28,20.93,47.27,28.5,14.2
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,52.92,459.0790724,0.28,0.72,26.82,11.77,27.69,45.34,17.76
3395,E01003558,Newham 008B,,540432,184873,51.5453,0.023821,59.33,450.8848274,0.28,0.72,30.025,7.55,18.67,60.15,14.39
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,82.4,352.5435961,0.22,0.78,41.59,18.02,40.24,27.88,20.66
3396,E01003559,Newham 009D,,539403,184822,51.5451,0.008972,85.83,272.1327771,0.16,0.84,43.335,23.32,48.85,22.32,16.23
3448,E01003618,Newham 012C,,539288,184464,51.5419,0.007173,65.82,449.9433639,0.28,0.72,33.27,20.73,47.96,27.46,13.2
3464,E01003635,Newham 016D,,539940,184058,51.5381,0.016407,3.83,761.7877262,0.47,0.53,2.18,21.37,45.85,23.83,21.48
3465,E01003636,Newham 020E,,539385,184010,51.5378,0.008391,31.19,578.2330433,0.36,0.64,15.915,14.91,30.27,25.36,28.32
3397,E01003560,Newham 011B,,541506,184826,51.5446,0.03928,16,587.2174831,0.36,0.64,8.32,5.04,14.4,69.53,8.16
3398,E01003561,Newham 007C,,541314,184910,51.5454,0.036547,17.14,696.2853747,0.43,0.57,8.855,4.38,9.98,73.03,10.45
3399,E01003562,Newham 014A,,541271,184571,51.5424,0.035791,,771.0791882,0.48,0.52,0.26,3.01,12.12,75.67,7.01
3400,E01003563,Newham 011C,,541583,184562,51.5422,0.040283,,797.3147133,0.5,0.5,0.25,4.88,11.59,65.87,16.55
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,96.38,255.3089065,0.15,0.85,48.615,6.98,16.9,64.99,10.47
3370,E01003533,Newham 011A,,541735,184264,51.5395,0.042354,28.97,562.615455,0.35,0.65,14.81,4.97,10.75,66.93,16.62
3401,E01003564,Newham 014B,,541277,184340,51.5403,0.035785,30.96,516.7675505,0.32,0.68,15.82,6.45,16.95,67.75,8.85
3402,E01003565,Newham 014C,,541607,184076,51.5378,0.040434,71.22,429.1886814,0.26,0.74,35.98,4.88,14.5,65.12,15.65
3392,E01003555,Newham 007B,,541054,185293,51.5489,0.032953,46.52,475.0872283,0.29,0.71,23.615,10.97,17.06,56.49,18.92
3393,E01003556,Newham 008A,,540576,185184,51.548,0.02602,99.36,237.2921491,0.14,0.86,50.11,10.1,19.95,50.2,19.75
3404,E01003567,Newham 007D,,541122,184960,51.5459,0.0338,2.98,730.0265914,0.45,0.55,1.765,5.2,15.38,68.57,9.77
3407,E01003570,Newham 008C,,540807,184874,51.5452,0.029226,26.27,549.6500407,0.34,0.66,13.465,7.1,14.78,67.44,9.84
3408,E01003571,Newham 008D,,540839,184672,51.5434,0.029606,,792.3418861,0.49,0.51,0.255,5.28,12.93,75.23,7.57
3411,E01003574,Newham 017D,,540584,184186,51.5391,0.025737,6.24,730.0124249,0.45,0.55,3.395,6.19,16.39,64.54,11.66
3429,E01003592,Newham 022B,,540602,183403,51.532,0.025685,30.01,563.3073616,0.35,0.65,15.33,16.12,28.95,44.43,17.82
3433,E01003596,Newham 016B,,540174,183795,51.5357,0.019674,31.71,588.0941094,0.36,0.64,16.175,13.72,28.37,43.32,18.33
3434,E01003597,Newham 016C,,540535,183731,51.535,0.02485,16.47,615.4637272,0.38,0.62,8.545,7.7,18.38,56.32,18.47
3410,E01003573,Newham 017C,,540979,184338,51.5403,0.03149,11.71,639.5705719,0.4,0.6,6.155,3.52,9.92,77.33,7.69
3409,E01003572,Newham 008E,,540555,184464,51.5416,0.025431,,865.2900492,0.54,0.46,0.23,5.05,15.5,67.76,9.03
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,,1037.684033,0.65,0.35,0.175,9.77,18.1,52.14,22.99
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,10.08,688.1305559,0.43,0.57,5.325,8.29,23.18,55.24,14.04
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,,757.142901,0.47,0.53,0.265,6.17,16.24,64.13,14.07
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,,1105.556581,0.69,0.31,0.155,9.26,17.02,55.82,19.15
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,,988.4980339,0.62,0.38,0.19,5.25,18.71,52.98,18.62
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,,1290.574482,0.81,0.19,0.095,7.91,15.79,46.15,28.18
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,,1290.19887,0.81,0.19,0.095,9.27,17.2,52.04,21.88
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,100,183.2232059,0.11,0.89,50.445,7.31,17.58,56.47,16.52
3431,E01003594,Newham 026A,,540164,182948,51.5281,0.019193,57.46,444.4193666,0.27,0.73,29.095,12.73,31.5,35.07,22.56
3432,E01003595,Newham 026B,,540420,183102,51.5294,0.022943,87.12,368.2447544,0.23,0.77,43.945,16.32,33.96,32.57,24.25
3437,E01003600,Newham 021B,,540243,183339,51.5316,0.020487,93,202.4995554,0.12,0.88,46.94,14.34,29.1,37.4,24.95
3459,E01003630,Newham 021C,,539856,183533,51.5334,0.014988,97.22,257.1578787,0.15,0.85,49.035,13.09,29.94,33.05,26.61
3435,E01003598,Newham 021A,,540249,183620,51.5341,0.020685,97.61,341.3143721,0.21,0.79,49.2,12.94,24.67,36.61,28.68
3466,E01003637,Newham 021D,,539811,183780,51.5356,0.014438,66.11,417.9037022,0.26,0.74,33.425,20.12,45.54,25.21,17.09
3438,E01003601,Newham 028A,,541151,182162,51.5207,0.033097,,1348.886471,0.85,0.15,0.075,20.8,34.56,33.47,21.75
3439,E01003602,Newham 026C,,540730,182460,51.5235,0.027152,,1002.468696,0.63,0.37,0.185,12.88,34.31,31.84,25.26
3443,E01003607,Newham 026D,,540705,182910,51.5276,0.026972,0.41,733.8992355,0.46,0.54,0.475,13.02,31.8,34.97,16.98
32241,E01034202,Newham 022F,,540995,182984,51.5282,0.031179,,789.6325984,0.49,0.51,0.255,13.48,31.48,35.81,24.28
3440,E01003603,Newham 028B,,541403,182628,51.5249,0.036914,,1248.504038,0.78,0.22,0.11,16.31,31.44,39.38,16.67
3444,E01003608,Newham 028D,,541192,182719,51.5257,0.033911,,1053.823338,0.66,0.34,0.17,18.97,38.92,34.63,13.74
3450,E01003621,Newham 023C,,543045,183806,51.535,0.061044,,775.281871,0.48,0.52,0.26,8.4,20.8,58.83,9.43
3451,E01003622,Newham 023D,,543459,183821,51.5351,0.067015,,1026.119422,0.64,0.36,0.18,8.35,20.15,54.7,16.2
3452,E01003623,Newham 023E,,543560,183425,51.5315,0.068309,,1323.593909,0.83,0.17,0.085,12.29,23.45,54.81,14.34
3457,E01003628,Newham 015D,,543160,184049,51.5372,0.0628,10.47,642.7320362,0.4,0.6,5.535,6.75,24.45,62.05,3.79
3458,E01003629,Newham 015E,,542671,184031,51.5372,0.055747,98.38,336.3781259,0.21,0.79,49.585,6.21,27.5,63.62,3.64
3462,E01003633,Newham 020C,,539394,183577,51.5339,0.008349,92.61,339.940509,0.21,0.79,46.7,14.31,25.93,27.7,34.05
3463,E01003634,Newham 020D,,539072,183758,51.5356,0.003782,100,323.8626282,0.2,0.8,50.4,15.67,30.7,33.05,24.93
3449,E01003619,Newham 012D,,538893,184114,51.5388,0.001343,98.65,144.0501189,0.08,0.92,49.785,17.3,33.31,28.68,24.74
31674,E01033586,Newham 040D,,538630,183273,51.5313,-0.00278,60.06,464.6876835,0.29,0.71,30.385,24.11,42.31,23.73,21.58
32238,E01034199,Newham 012E,,538888,184896,51.5459,0.001579,100,286.7127318,0.17,0.83,50.415,16.33,33.26,26.64,28.41
32239,E01034200,Newham 012F,,538881,184529,51.5426,0.001334,100,226.2669246,0.14,0.86,50.43,14.29,39.37,35.05,14.86
32258,E01034219,Newham 039C,,538631,184823,51.5453,-0.00215,99.41,227.2413522,0.14,0.86,50.135,26.18,41.81,31.27,14.36
32259,E01034220,Newham 039D,,538390,184501,51.5424,-0.00575,100,114.9359242,0.07,0.93,50.465,23.51,45.72,36.91,4.93
32252,E01034213,Newham 038A,,537786,185247,51.5493,-0.01417,36.42,522.277787,0.32,0.68,18.55,27.04,44.96,24.3,15.62
32253,E01034214,Newham 038B,,538086,185070,51.5476,-0.00991,100,194.6749331,0.12,0.88,50.44,29.48,51.32,23.31,12.65
32254,E01034215,Newham 038C,,538244,185039,51.5473,-0.00765,100,176.818741,0.1,0.9,50.45,25.11,43.49,24.72,20.34
32256,E01034217,Newham 038E,,537941,184700,51.5443,-0.01215,95.6,253.4686415,0.15,0.85,48.225,30.28,48.9,30.38,10.29
32257,E01034218,Newham 039B,,538294,185297,51.5496,-0.00682,46.47,492.7833332,0.3,0.7,23.585,19.13,39.2,25.78,20.73
32255,E01034216,Newham 038D,,538370,184909,51.5461,-0.00588,100,225.6140898,0.14,0.86,50.43,26.86,48.23,22.32,18.26
31669,E01033579,Newham 040C,,537880,183346,51.5322,-0.01355,85.62,106.4130077,0.06,0.94,43.28,25.45,52.44,23.7,13.34
32260,E01034221,Newham 039E,,538379,184026,51.5382,-0.0061,100,308.7304083,0.19,0.81,50.405,16.43,37.99,34.78,19.19
32261,E01034222,Newham 040A,,537952,183980,51.5379,-0.01227,66.33,388.165857,0.24,0.76,33.545,19.91,43.69,26.22,17.21
32262,E01034223,Newham 040B,,538393,183640,51.5347,-0.00605,81.85,499.0178597,0.31,0.69,41.27,23.54,47.3,21.57,18.15
32263,E01034224,Newham 041D,,542100,180035,51.5014,0.045909,54.12,399.1583897,0.24,0.76,27.44,19.1,33.5,23.5,33.28
32264,E01034225,Newham 042B,,541442,180222,51.5032,0.036511,95.13,162.2835325,0.09,0.91,48.02,26.1,40.65,22.3,26.23
32265,E01034226,Newham 042C,,541453,180028,51.5015,0.036591,100,240.1206735,0.14,0.86,50.43,18.43,43.43,26.41,17.87
32267,E01034228,Newham 042E,,541142,179944,51.5008,0.03208,100,208.1744016,0.12,0.88,50.44,20.97,45.58,32.57,11.08
32270,E01034231,Newham 042H,,541278,179820,51.4997,0.033988,46.96,459.8696146,0.28,0.72,23.84,21.47,45.08,33.83,9.92
31670,E01033580,Newham 042A,,540729,180295,51.5041,0.026274,100,198.8905435,0.12,0.88,50.44,22.74,56.93,26.72,7.68
32266,E01034227,Newham 042D,,540832,180017,51.5015,0.027646,100,328.0502392,0.2,0.8,50.4,11.67,27.71,22.89,36.97
32268,E01034229,Newham 042F,,540348,180091,51.5023,0.020707,64.04,263.6241904,0.16,0.84,32.44,22.16,46.88,20.38,20.74
32269,E01034230,Newham 042G,,540782,179864,51.5002,0.026865,97.75,404.1377002,0.25,0.75,49.25,23.06,49.51,31.72,9.39
3324,E01003483,Newham 032A,,542083,181918,51.5183,0.046423,,1028.696672,0.64,0.36,0.18,19.39,34,37.03,19.21
3325,E01003484,Newham 032B,,542576,181891,51.5179,0.053513,23.8,581.7077677,0.36,0.64,12.22,17.79,55.98,23.62,11.23
3326,E01003485,Newham 035C,,542352,181536,51.5148,0.050143,3.74,751.5448703,0.47,0.53,2.135,16.61,51.88,22.38,15.78
3327,E01003486,Newham 033C,,543008,181564,51.5149,0.059602,94.4,109.0056304,0.06,0.94,47.67,22.58,29.94,29.45,29.86
3377,E01003540,Newham 029C,,542904,182348,51.522,0.058422,,807.4996779,0.5,0.5,0.25,18.45,31.16,39.37,21.56
3378,E01003541,Newham 029D,,542406,182246,51.5212,0.051207,,1027.400787,0.64,0.36,0.18,15.19,31.62,42.4,18.51
32244,E01034205,Newham 033E,,544253,182297,51.5212,0.077831,9.63,1322.10011,0.83,0.17,4.9,16.52,47.49,23.07,20.57
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,99.83,136.5057338,0.08,0.92,50.375,26.21,44.53,28.71,16.38
3384,E01003547,Newham 007A,,541032,185709,51.5527,0.032803,47.16,474.3780742,0.29,0.71,23.935,37.52,54.54,24.14,10.92
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,67.5,424.9708642,0.26,0.74,34.12,20.61,31.39,48.69,11.41
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,64.23,403.4568005,0.25,0.75,32.49,20.23,39.47,29.21,20.29
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,95.64,216.5710864,0.13,0.87,48.255,15.88,31.38,36.58,24.55
3339,E01003499,Newham 030A,,540410,182453,51.5235,0.02254,,887.7555224,0.55,0.45,0.225,20.31,32.15,29.96,24.69
3445,E01003611,Newham 041C,,543253,179952,51.5004,0.062476,100,183.6995465,0.11,0.89,50.445,15.9,27.17,18.38,41.29
31671,E01033581,Newham 041A,,543164,180295,51.5035,0.061334,92.72,340.5059579,0.21,0.79,46.755,21.65,40.03,18.54,29.75
31672,E01033582,Newham 041B,,543829,179993,51.5006,0.070785,17.7,691.8965603,0.43,0.57,9.135,18.22,57.07,18.98,13.46
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,43.31,550.380568,0.34,0.66,21.985,20.15,45.6,23.29,20.06
3446,E01003615,Newham 039A,,538925,185401,51.5504,0.002312,44.66,505.6581521,0.31,0.69,22.675,18.2,38.52,31.71,20.9
3447,E01003616,Newham 012A,,539048,185067,51.5474,0.003952,81.48,273.5355166,0.17,0.83,41.155,16.59,41.22,28.49,21.26
32250,E01034211,Newham 034M,,539675,180778,51.5087,0.011289,79.66,484.7211837,0.3,0.7,40.18,17.08,50.69,30.43,7.19
3322,E01003480,Newham 033A,,543539,180983,51.5095,0.067013,100,167.6064877,0.1,0.9,50.45,27.56,51.44,24.93,15.09
3323,E01003481,Newham 035B,,542903,181059,51.5104,0.057885,100,192.2470768,0.11,0.89,50.445,24.73,50.2,23.03,17.46
3328,E01003487,Newham 033D,,543528,181458,51.5138,0.067048,75.44,391.3985803,0.24,0.76,38.1,22.12,31.55,31.7,25.61
32245,E01034206,Newham 033F,,544481,181408,51.5131,0.080751,21.82,811.2887277,0.51,0.49,11.155,15.28,32.77,27.77,24.42
3441,E01003604,Newham 031D,,540918,181954,51.5189,0.029658,,1019.006545,0.64,0.36,0.18,18.52,35.94,30.87,21
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,89.77,340.1597573,0.21,0.79,45.28,19.02,35.85,29.88,24.99
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,31.48,550.2975327,0.34,0.66,16.07,18.78,38.98,25.17,24.83
3372,E01003535,Newham 023A,,543827,182989,51.5275,0.071978,,1594.100169,1,0,0,22.24,31.23,34.89,23.53
3453,E01003624,Newham 024E,,543079,183374,51.5312,0.061359,,1127.108445,0.7,0.3,0.15,14.23,26.73,49.2,13.34
32246,E01034207,Newham 033G,,544028,180743,51.5073,0.073956,91.13,186.5731123,0.11,0.89,46.01,21.5,48.69,27.71,12.55
3342,E01003502,Newham 030C,,539982,181959,51.5192,0.016179,30.29,613.8445487,0.38,0.62,15.455,13.76,32.51,23.12,35.01
3343,E01003503,Newham 030D,,539512,181779,51.5177,0.009338,73.42,382.4799615,0.23,0.77,37.095,18.58,38.65,24.84,26.44
32248,E01034209,Newham 034K,,539606,181321,51.5136,0.010511,99,12.01033743,0,1,50,14.08,42.93,34.08,12.11
3373,E01003536,Newham 023B,,543342,182687,51.5249,0.064868,,1138.204227,0.71,0.29,0.145,13.35,27.79,46.92,14.25
3375,E01003538,Newham 029A,,542715,182564,51.524,0.055787,,1073.634825,0.67,0.33,0.165,17.74,33.38,37.27,19.52
3350,E01003513,Newham 035D,,541939,181383,51.5135,0.044134,55.02,402.7822837,0.25,0.75,27.885,19.25,54.67,17.2,18.8
3427,E01003590,Newham 003D,,541939,185859,51.5538,0.045936,98.4,127.4862879,0.07,0.93,49.665,20.7,32.26,37.17,21.94
3321,E01003479,Newham 035A,,542478,181238,51.5121,0.051837,90.8,344.7251688,0.21,0.79,45.795,26.37,61.07,13.54,15.49
3337,E01003497,Newham 034A,,538951,181936,51.5193,0.00132,70.21,247.2827823,0.15,0.85,35.53,31.94,48,18.91,21.76
